A-2,A-3,E-13,F-1,G-1,G-4,P-2,T-1,T-2,T-3
-0.16118047,-0.587289239,-0.933609242,-0.281684448,0.875311341,1,-0.983957998,0.807321726,0.780788675,0.958868326
-0.16118047,-0.587289239,-0.94994641,-0.309196756,0.86756374,1,-0.930481526,0.810754098,0.777318981,0.958868326
-0.16118047,-0.384882437,-0.94994641,0.551441073,0.855633003,1,-0.930481526,0.810754098,0.777318981,0.958868326
-0.16118047,-0.587289239,-0.933609242,0.057422017,0.835302899,1,-0.930481526,0.810754098,0.773849538,0.958868326
0.126897138,-0.785478301,-0.917443509,0.181386086,0.66842378,1,-0.925134192,0.807321726,0.791200536,0.958868326
0.126897138,-0.583071499,-0.885621007,-0.110759379,0.809373921,1,-0.93582886,0.807321726,0.770379541,0.961928373
0.126897138,-0.583071499,-0.869961581,-0.151823795,0.594319529,1,-0.930481526,0.803888856,0.773849538,0.961928373
0.126897138,-0.583071499,-0.869961581,-0.13447584,0.773866388,1,-0.930481526,0.800457184,0.753037478,0.961928373
0.126897138,-0.781390576,-0.854468279,-0.255099295,0.759362872,1,-0.930481526,0.810754098,0.759973082,0.961928373
0.126897138,-0.781390576,-0.854468279,-0.254348602,0.749416779,1,-0.930481526,0.790162915,0.759973082,0.964989441
0.41501008,-0.781390576,-0.854468279,0.551292196,0.743743281,1,-0.93582886,0.810754098,0.749569752,0.964989441
0.41501008,-0.781390576,-0.854468279,-0.315572545,0.740434844,1,-0.93582886,0.78673234,0.746102279,0.964989441
0.41501008,-0.781390576,-0.854468279,-0.323490324,0.730345971,1,-0.93582886,0.783301216,0.766910755,0.968051053
0.41501008,-0.781390576,-0.854468279,-0.323368114,0.670109948,1,-0.930481526,0.77987129,0.749569752,0.968051053
0.41501008,-0.781390576,-0.854468279,-0.322530595,0.719285749,1,-0.930481526,0.77987129,0.566211586,0.968051053
0.41501008,-0.781390576,-0.869961581,-0.320621402,0.701824788,1,-0.93582886,0.773011388,0.34591283,0.968051053
0.41501008,-0.781390576,-0.901447875,-0.326467749,0.685369955,1,-0.989305332,0.790162915,0.140490787,0.971113278
0.703158358,-0.781390576,-0.933609242,-0.321509789,0.669344811,1,-0.93582886,0.776441614,-0.009470249,0.971113278
0.703158358,-0.781390576,-0.94994641,-0.321627354,0.650744887,1,-0.941177238,0.766153533,-0.158855079,0.971113278
0.703158358,-0.781390576,-0.966456358,-0.326066194,0.620283911,1,-0.946524572,0.77987129,-0.260377735,0.974176524
0.703158358,-0.781390576,-0.966456358,0.235478672,0.640070313,1,-0.95721924,0.762724205,-0.388587934,0.974176524
0.703158358,-0.781390576,-0.966456358,-0.32195665,0.627808632,1,-0.941177238,0.755868096,-0.482783837,0.974176524
0.703158358,-0.578910523,-0.966456358,-0.319624339,0.62613102,1,-0.941177238,0.752440116,-0.523081928,0.977240043
0.703158358,-0.781390576,-0.966456358,-0.158674086,0.476535178,1,-0.93582886,0.759296026,-0.633680597,0.977240043
0.703158358,-0.781390576,-0.966456358,-0.314829708,0.628420011,1,-0.95721924,0.769582361,-0.693870433,0.977240043
0.703158358,-0.578910523,-0.983140436,-0.317169188,0.628151501,1,-0.941177238,0.745585354,-0.757299216,0.980304514
0.423597437,-0.781390576,-0.983140436,-0.308669435,0.627953577,1,-0.941177238,0.581421282,-0.777307118,0.980304514
0.711781051,-0.781390576,-0.966456358,-0.312231931,0.627542014,1,-0.989305332,0.33983883,-0.84392255,0.980304514
0.711781051,-0.583071499,-0.983140436,-0.315796721,0.631127992,1,-0.93582886,0.153718556,-0.863883958,0.983370006
0.711781051,-0.781390576,-0.966456358,-0.32053406,0.505215392,1,-0.930481526,-0.001262625,-0.910418948,0.986435839
0.143977633,-0.583071499,-0.966456358,0.229766521,0.633643091,1,-0.925134192,-0.142222412,-0.930344616,0.986435839
0.432161247,-0.380591447,-0.966456358,-0.316782085,0.641360115,1,-0.919786858,-0.262632036,-0.936984049,0.986435839
0.432161247,-0.583071499,-0.983140436,-0.330099522,0.640470493,1,-0.919786858,-0.369342391,-0.966847058,0.986435839
0.432161247,-0.380591447,-0.983140436,-0.322747143,0.662409501,1,-0.919786858,-0.459144793,-0.720590207,0.986435839
0.432161247,-0.380591447,-0.966456358,-0.330615659,0.680587263,1,-0.919786858,-0.545418611,-0.415524724,0.986435839
0.152522441,-0.583071499,-0.933609242,-0.32937389,0.6985817,1,-0.91443848,-0.614955791,-0.185953686,0.986435839
0.152522441,-0.380591447,-0.94994641,-0.336486838,0.721682426,1,-0.919786858,-0.674455747,0.034776432,0.986435839
0.152522441,-0.583071499,-0.933609242,-0.327396968,0.739155341,1,-0.93582886,-0.730562256,0.130247829,0.986435839
-0.127162092,-0.583071499,-0.933609242,-0.335748647,0.632916169,0.98,-0.941177238,-0.776704049,0.256765508,0.986435839
-0.127162092,-0.384882437,-0.901447875,-0.333046323,0.762542198,0.98,-0.909091146,-0.799753264,0.373383303,0.986435839
-0.127162092,-0.384882437,-0.885621007,0.22422871,0.786728564,1,-0.930481526,-0.862242659,0.43870254,0.989502489
-0.127162092,-0.384882437,-0.869961581,-0.330289862,0.80414257,1,-0.903743812,-0.875384696,0.531709394,0.989502489
-0.127162092,-0.384882437,-0.854468279,-0.335826067,0.819165041,0.98,-0.898396479,-0.904937261,0.576568018,0.989502489
-0.127162092,-0.186750327,-0.839139787,-0.330960439,0.831696306,0.98,-0.941177238,-0.950860533,0.618020554,0.992570091
-0.127162092,-0.186750327,-0.823974802,-0.327874682,0.846274089,0.98,-0.887700766,-0.937745544,0.645679321,0.989502489
-0.127162092,-0.186750327,-0.823974802,-0.129129057,0.716134169,0.98,-0.930481526,-0.806336059,0.669896561,0.992570091
-0.127162092,-0.186750327,-0.823974802,-0.335187032,0.86140403,0.98,-0.877006099,-0.502306578,0.687203337,0.992570091
0.161056857,-0.186750327,-0.823974802,-0.330846831,0.871895092,0.98,-0.877006099,-0.245931626,0.694127986,0.992570091
-0.127162092,-0.186750327,-0.839139787,-0.337573135,0.88868279,0.98,-0.871657721,-0.041589574,0.725304505,0.992570091
-0.127162092,0.011284702,-0.667584103,-0.333559134,0.911193418,0.98,-0.871657721,0.146967036,0.735702079,0.992570091
-0.127162092,0.011284702,0.81722627,-0.333419261,0.929689459,0.98,-0.871657721,0.21453283,0.725304505,0.992570091
-0.127162092,0.011284702,0.854309108,0.213631834,0.949270729,0.98,-0.877006099,0.343231229,0.732236171,0.992570091
-0.127162092,0.011284702,0.887823236,-0.335757937,0.966736871,0.98,-0.887700766,0.414536742,0.742635512,0.992570091
-0.127162092,0.20922655,0.939507129,0.262318969,0.775917179,0.98,-0.903743812,0.513219534,0.742635512,0.992570091
-0.127162092,0.213764755,0.958629979,0.17070766,0.98049249,0.98,-0.903743812,0.564359629,0.753037478,0.995638103
-0.127162092,0.20922655,0.962040419,-0.248458613,0.986057713,0.98,-0.91443848,0.605319382,0.759973082,0.995638103
-0.127162092,0.20922655,0.951749045,-0.263908328,0.982356015,0.98,-0.909091146,0.649740449,0.766910755,0.995638103
-0.127162092,0.20922655,0.89357277,-0.257374429,0.973659798,0.98,-0.909091146,0.659998489,0.770379541,0.995638103
-0.415345706,0.20922655,0.850265848,-0.267157815,0.96195215,0.98,-0.91443848,0.687366088,0.773849538,0.995638103
-0.415345706,0.20922655,0.819325226,-0.263038866,0.793199651,1,-0.91443848,0.694211218,0.784259581,0.995638103
-0.415345706,0.407072835,0.783112478,-0.24933358,0.964595646,1,-0.967914952,0.711328462,0.784259581,0.998707203
-0.415345706,0.204666032,-0.628116664,0.230008303,0.79491958,1,-0.91443848,0.718177285,0.787729932,0.998707203
-0.415345706,0.407072835,-0.779447912,-0.330059779,0.972967659,1,-0.91443848,0.728452991,0.784259581,0.995638103
-0.415345706,0.204666032,-0.764924015,-0.332872327,0.985600361,1,-0.930481526,0.738731391,0.79814356,0.998707203
-0.703493984,0.204666032,-0.750557187,-0.295030387,0.992385533,1,-0.946524572,0.755868096,0.7946723,0.995638103
-0.703493984,0.204666032,-0.750557187,-0.336919935,1,1,-0.925134192,0.766153533,0.791200536,0.995638103
-0.703493984,0.204666032,-0.750557187,-0.335371465,0.998213108,1,-0.925134192,0.773011388,0.812032233,0.995638103
-0.42380945,0.204666032,-0.722289676,-0.325822692,0.994087431,1,-0.925134192,0.762724205,0.805087694,0.995638103
-0.42380945,0.204666032,-0.694635306,-0.173725803,0.984819757,1,-0.962567618,0.773011388,0.825926559,0.995638103
-0.711922393,0.204666032,-0.694635306,-0.338104298,0.978266426,1,-0.919786858,0.797025711,0.808559862,0.995638103
-0.711922393,0.204666032,-0.505780782,-0.333522259,0.971169643,1,-0.919786858,0.793593739,0.83635003,0.995638103
-0.711922393,0.204666032,-0.366446046,0.219461893,0.968392509,1,-0.91443848,0.78673234,0.839824824,0.995638103
-0.711922393,0.204666032,-0.299863365,-0.333900874,0.970249155,1,-0.91443848,0.783301216,0.818978841,0.992570091
-0.432283588,0.204666032,-0.281854769,-0.334587567,0.969622336,1,-0.909091146,0.790162915,0.822452119,0.992570091
-0.720361195,0.204666032,-0.346846291,-0.331130191,0.973014444,1,-0.91443848,0.790162915,0.839824824,0.989502489
-0.720361195,0.204666032,-0.438832248,-0.337483442,0.972564067,1,-0.919786858,0.783301216,0.832874631,0.989502489
-0.720361195,0.204666032,-0.396736506,-0.326953549,0.972131818,1,-0.93582886,0.790162915,0.825926559,0.986435839
-0.720361195,0.006819748,-0.396736506,-0.331899236,0.827387991,1,-0.925134192,0.790162915,0.815505814,0.986435839
-0.720361195,-0.195512958,-0.517397251,-0.334014195,0.969328326,1,-0.930481526,0.810754098,0.843299869,0.983370006
-0.440741391,0.006819748,-0.541033406,-0.329181485,0.964789488,1,-0.925134192,0.793593739,0.815505814,0.980304514
-0.728783662,0.006819748,-0.553055416,-0.336639557,0.958608813,1,-0.941177238,0.797025711,0.815505814,0.977240043
-0.728783662,0.006819748,-0.529147739,0.238563798,0.947905359,1,-0.925134192,0.803888856,0.812032233,0.974176524
-0.728783662,0.20922655,-0.722289676,-0.334082211,0.935058144,1,-0.93582886,0.824487125,0.808559862,0.974176524
-0.440741391,-0.1911221,-0.901447875,-0.327202212,0.821365056,1,-0.930481526,0.827921742,0.83635003,0.971113278
-0.728783662,-0.1911221,-0.901447875,-0.338161647,0.924756462,1,-0.97860962,0.824487125,0.815505814,0.971113278
-0.728783662,-0.1911221,-0.917443509,-0.333072875,0.812404287,1,-0.919786858,0.827921742,0.832874631,0.968051053
-0.728783662,-0.1911221,-0.933609242,-0.329443511,0.927644304,1,-0.973262286,0.848532337,0.812032233,0.968051053
-0.449222741,-0.38915713,-0.933609242,-0.334208894,0.927489445,1,-0.919786858,0.83135586,0.825926559,0.968051053
-0.449222741,-0.38915713,-0.933609242,-0.332564193,0.921559227,1,-0.925134192,0.827921742,0.815505814,0.964989441
-0.16118047,-0.38915713,-0.917443509,-0.336576531,0.91297739,1,-0.930481526,0.824487125,0.815505814,0.964989441
-0.16118047,-0.186750327,-0.917443509,-0.33017419,0.902624473,1,-0.930481526,0.817620437,0.808559862,0.964989441
-0.16118047,-0.587289239,-0.94994641,-0.331958936,0.761169751,1,-0.925134192,0.817620437,0.805087694,0.961928373
-0.16118047,-0.587289239,-0.933609242,0.011974161,0.89262728,1,-0.93582886,0.824487125,0.812032233,0.961928373
-0.16118047,-0.587289239,-0.94994641,-0.332857072,0.879391454,1,-0.97860962,0.810754098,0.805087694,0.958868326
0.126897138,-0.384882437,-0.933609242,-0.329906314,0.866797307,1,-0.925134192,0.817620437,0.822452119,0.958868326
0.126897138,-0.785478301,-0.933609242,-0.327439808,0.852087111,1,-0.93582886,0.83135586,0.822452119,0.958868326
0.126897138,-0.583071499,-0.94994641,0.343232583,0.839958034,1,-0.925134192,0.821053656,0.812032233,0.958868326
0.126897138,-0.785478301,-0.94994641,-0.317519014,0.837648656,1,-0.925134192,0.838225742,0.812032233,0.958868326
0.41501008,-0.583071499,-0.94994641,0.526456119,0.835905374,1,-0.930481526,0.814186668,0.787729932,0.958868326
0.41501008,-0.583071499,-0.94994641,-0.23804984,0.829915852,1,-0.97860962,0.838225742,0.791200536,0.958868326
0.41501008,-0.781390576,-0.94994641,-0.304347243,0.636184477,1,-0.925134192,0.841660708,0.79814356,0.958868326
0.41501008,-0.781390576,-0.94994641,-0.314754238,0.822225516,1,-0.925134192,0.821053656,0.780788675,0.958868326
0.41501008,-0.781390576,-0.933609242,-0.304818189,0.80894907,1,-0.983957998,0.821053656,0.805087694,0.958868326
0.41501008,-0.781390576,-0.917443509,-0.313052762,0.795695031,1,-0.925134192,0.817620437,0.780788675,0.958868326
0.41501008,-0.781390576,-0.901447875,-0.317792567,0.782899512,1,-0.930481526,0.814186668,0.773849538,0.961928373
0.703158358,-0.781390576,-0.885621007,-0.322870729,0.766683161,1,-0.994652666,0.827921742,0.770379541,0.961928373
0.703158358,-0.781390576,-0.869961581,0.535360523,0.577819769,1,-0.930481526,0.803888856,0.784259581,0.961928373
0.703158358,-0.781390576,-0.869961581,-0.292672155,0.746824951,1,-0.930481526,0.800457184,0.766910755,0.964989441
0.703158358,-0.781390576,-0.854468279,-0.327885808,0.716127771,1,-0.941177238,0.810754098,0.763442171,0.964989441
0.703158358,-0.781390576,-0.854468279,-0.315443052,0.69804275,1,-0.930481526,0.810754098,0.753037478,0.964989441
0.703158358,-0.781390576,-0.869961581,-0.323461018,0.676277521,1,-0.93582886,0.793593739,0.770379541,0.968051053
0.703158358,-0.781390576,-0.869961581,-0.325518744,0.653772543,1,-0.941177238,0.797025711,0.759973082,0.968051053
0.703158358,-0.781390576,-0.869961581,-0.327222686,0.647158665,1,-0.93582886,0.783301216,0.666435953,0.968051053
0.703158358,-0.781390576,-0.885621007,-0.164213618,0.652807555,1,-0.93582886,0.78673234,0.414624955,0.968051053
0.703158358,-0.578910523,-0.901447875,-0.326362285,0.63362375,1,-0.93582886,0.78673234,0.212266534,0.968051053
0.423597437,-0.578910523,-0.94994641,-0.326807081,0.62788213,1,-0.989305332,0.77987129,0.048400886,0.971113278
0.711781051,-0.578910523,-0.966456358,0.23187305,0.558812735,1,-0.93582886,0.790162915,-0.097812837,0.971113278
0.711781051,-0.578910523,-0.966456358,-0.310843292,0.623693188,1,-0.941177238,0.776441614,-0.233331149,0.974176524
0.711781051,-0.578910523,-0.983140436,-0.320895242,0.618252208,1,-0.93582886,0.769582361,-0.338029904,0.974176524
0.711781051,-0.578910523,-0.983140436,-0.32208815,0.614400261,1,-0.930481526,0.78673234,-0.435714912,0.974176524
0.143977633,-0.781390576,-0.983140436,-0.319597959,0.612118128,0.98,-0.989305332,0.759296026,-0.52643794,0.977240043
0.432161247,-0.578910523,-0.966456358,-0.326421239,0.61332396,0.98,-0.941177238,0.773011388,-0.603549485,0.977240043
0.432161247,-0.578910523,-0.966456358,-0.320403936,0.619547607,0.98,-0.93582886,0.762724205,-0.667131073,0.977240043
0.432161247,-0.578910523,-0.983140436,-0.3207841,0.628333992,0.98,-0.930481526,0.759296026,-0.727267298,0.977240043
0.152522441,-0.380591447,-0.983140436,-0.318789573,0.643014657,0.98,-0.919786858,0.721602421,-0.783974113,0.980304514
0.152522441,-0.583071499,-0.983140436,-0.318119053,0.509818125,0.98,-0.91443848,0.428134011,-0.810629675,0.980304514
0.152522441,-0.380591447,-0.966456358,0.246897125,0.652962126,0.98,-0.925134192,0.255128671,-0.84392255,0.980304514
0.152522441,-0.380591447,-0.983140436,-0.324500921,0.667809348,0.98,-0.973262286,0.086258755,-0.880510304,0.983370006
-0.127162092,-0.380591447,-0.983140436,-0.322006944,0.681174879,0.98,-0.919786858,-0.078519296,-0.910418948,0.986435839
-0.127162092,-0.380591447,-0.983140436,-0.316323697,0.689968739,0.98,-0.919786858,-0.212507725,-0.946941077,0.986435839
-0.127162092,-0.380591447,-0.983140436,-0.316757195,0.696453362,0.98,-0.919786858,-0.326028055,-0.970163745,0.986435839
-0.127162092,-0.182402384,-0.983140436,-0.312703279,0.58359418,0.98,-0.919786858,-0.419259134,-0.853904516,0.986435839
-0.127162092,-0.384882437,-0.983140436,-0.332467618,0.706392368,0.98,-0.91443848,-0.505624773,-0.553277353,0.986435839
-0.127162092,-0.182402384,-0.983140436,-0.32920603,0.715551434,0.98,-0.91443848,-0.538789008,-0.294158961,0.986435839
-0.127162092,-0.182402384,-0.983140436,-0.325183255,0.724487117,0.98,-0.91443848,-0.644717695,-0.070651887,0.986435839
-0.127162092,-0.182402384,-0.983140436,-0.327986856,0.741333989,0.98,-0.903743812,-0.700869266,0.113182528,0.986435839
-0.127162092,-0.182402384,-0.983140436,0.241309879,0.760034121,0.98,-0.898396479,-0.756936102,0.19858511,0.986435839
-0.127162092,-0.384882437,-0.983140436,-0.327436137,0.785273474,0.98,-0.8930481,-0.799753264,0.321891531,0.986435839
-0.127162092,0.015729725,-0.966456358,-0.329269286,0.804731464,0.98,-0.93582886,-0.842520623,0.390562792,0.989502489
-0.127162092,-0.186750327,-0.983140436,-0.319868529,0.692193941,0.98,-0.882353433,-0.855669845,0.466237351,0.989502489
-0.127162092,0.015729725,-0.966456358,-0.325369523,0.826161813,0.98,-0.887700766,-0.901654896,0.548956552,0.989502489
-0.127162092,0.011284702,-0.983140436,-0.127914815,0.846418309,0.98,-0.8930481,-0.934465973,0.590380516,0.992570091
-0.127162092,0.011284702,-0.983140436,-0.33439109,0.867795391,0.98,-0.898396479,-0.94758226,0.628390415,0.992570091
-0.127162092,0.011284702,-0.966456358,-0.334178499,0.880718902,0.98,-0.903743812,-0.878669556,0.649138112,0.992570091
-0.127162092,0.011284702,-0.983140436,-0.331337563,0.888417458,1,-0.91443848,-0.631492821,0.669896561,0.992570091
-0.127162092,0.011284702,-0.966456358,-0.331813098,0.758812429,1,-0.909091146,-0.346025651,0.694127986,0.992570091
-0.127162092,0.20922655,0.539516391,-0.333491463,0.900675622,1,-0.91443848,-0.125468993,0.707981423,0.992570091
-0.406852055,0.20922655,0.553405525,0.22226842,0.904630368,1,-0.909091146,0.072781051,0.714909657,0.992570091
-0.406852055,0.20922655,0.59674976,-0.329653349,0.904903669,1,-0.909091146,0.224677817,0.732236171,0.995638103
-0.415345706,0.20922655,0.628933618,-0.334535494,0.757893871,1,-0.91443848,0.288990239,0.725304505,0.995638103
-0.127162092,0.407072835,0.686152778,-0.33294797,0.924159872,1,-0.91443848,0.397547997,0.753037478,0.995638103
-0.695035668,0.407072835,0.726108642,-0.335499123,0.947698731,1,-0.91443848,0.455341024,0.746102279,0.995638103
-0.415345706,0.407072835,0.770096704,-0.332245851,0.969742101,1,-0.919786858,0.537076815,0.746102279,0.995638103
-0.415345706,0.407072835,0.734961078,-0.33821349,0.979767871,1,-0.962567618,0.581421282,0.756505154,0.995638103
-0.415345706,0.407072835,0.635462076,-0.337402753,0.78053549,1,-0.91443848,0.618982197,0.756505154,0.995638103
-0.703493984,0.407072835,0.586225766,-0.337146404,0.990808807,1,-0.91443848,0.646321501,0.763442171,0.998707203
-0.703493984,0.407072835,0.569641218,-0.336244483,0.991819464,1,-0.930481526,0.670259174,0.787729932,0.998707203
-0.703493984,0.407072835,0.518349023,-0.015487566,0.991989302,1,-0.925134192,0.714752898,0.801615021,0.998707203
-0.703493984,0.407072835,-0.6152518,-0.051472385,0.992607633,1,-0.941177238,0.701057148,0.791200536,0.998707203
-0.703493984,0.407072835,-0.779447912,-0.337724077,0.985495729,1,-0.919786858,0.707904225,0.7946723,0.998707203
-0.42380945,0.407072835,-0.764924015,-0.332958178,0.983325073,1,-0.919786858,0.738731391,0.79814356,0.998707203
-0.711922393,0.407072835,-0.779447912,-0.33661203,0.800382763,1,-0.925134192,0.725027706,0.805087694,0.998707203
-0.711922393,0.407072835,-0.764924015,-0.342684617,0.972438949,1,-0.919786858,0.738731391,0.822452119,0.998707203
-0.711922393,0.407072835,-0.764924015,-0.333097994,0.961742807,1,-0.919786858,0.762724205,0.822452119,0.998707203
-0.711922393,0.407072835,-0.750557187,-0.335408569,0.955188011,1,-0.946524572,0.745585354,0.815505814,0.998707203
-0.711922393,0.204666032,-0.736346162,-0.33326138,0.955648007,1,-0.925134192,0.752440116,0.815505814,0.998707203
-0.711922393,0.204666032,-0.681034928,-0.333469613,0.956318941,1,-0.919786858,0.755868096,0.815505814,0.995638103
-1,0.204666032,-0.541033406,-0.016337816,0.95569609,1,-0.925134192,0.783301216,0.815505814,0.995638103
-0.720361195,0.006819748,-0.541033406,-0.333668096,0.953985081,1,-0.930481526,0.762724205,0.818978841,0.995638103
-0.720361195,0.20922655,-0.667584103,-0.330730471,0.95030609,1,-0.941177238,0.793593739,0.839824824,0.995638103
-0.720361195,0.006819748,-0.6542816,-0.336102315,0.803336488,1,-0.930481526,0.77987129,0.83635003,0.992570091
-0.720361195,0.006819748,-0.667584103,-0.332878693,0.943621685,1,-0.925134192,0.783301216,0.839824824,0.992570091
-0.720361195,0.20922655,-0.708386474,-0.328196465,0.934801006,1,-0.919786858,0.800457184,0.825926559,0.989502489
-0.720361195,0.20922655,-0.722289676,-0.326453985,0.929365278,1,-0.919786858,0.807321726,0.846776126,0.989502489
-0.440741391,-0.1911221,-0.736346162,-0.333466057,0.796206722,1,-0.97860962,0.817620437,0.850251879,0.986435839
-0.728783662,-0.1911221,-0.750557187,-0.334630693,0.937436963,1,-0.919786858,0.797025711,0.825926559,0.986435839
-0.728783662,-0.1911221,-0.750557187,-0.329345617,0.941821772,1,-0.919786858,0.821053656,0.818978841,0.983370006
-0.728783662,-0.1911221,-0.750557187,0.188874438,0.94791232,1,-0.919786858,0.824487125,0.822452119,0.980304514
-0.728783662,-0.38915713,-0.764924015,-0.333032903,0.94676423,1,-0.919786858,0.817620437,0.808559862,0.977240043
-0.728783662,-0.186750327,-0.794130154,-0.336457017,0.809601428,1,-0.973262286,0.810754098,0.805087694,0.974176524
-0.440741391,-0.186750327,-0.779447912,-0.332107927,0.941474133,1,-0.930481526,0.821053656,0.812032233,0.974176524
-0.16118047,-0.186750327,-0.779447912,-0.332441123,0.936075751,1,-0.973262286,0.841660708,0.808559862,0.971113278
-0.16118047,-0.384882437,-0.779447912,-0.330414423,0.922801353,1,-0.919786858,0.845095924,0.829400494,0.971113278
-0.16118047,-0.384882437,-0.794130154,-0.331287383,0.909286865,1,-0.930481526,0.827921742,0.808559862,0.968051053
-0.16118047,-0.384882437,-0.808972022,-0.335394863,0.901098687,1,-0.925134192,0.83135586,0.822452119,0.968051053
-0.16118047,-0.583071499,-0.823974802,-0.331312215,0.893112473,1,-0.941177238,0.827921742,0.808559862,0.968051053
-0.440741391,-0.583071499,-0.823974802,-0.333479305,0.787022323,1,-0.93582886,0.834790177,0.805087694,0.964989441
0.126897138,-0.583071499,-0.823974802,-0.33463723,0.887842361,1,-0.93582886,0.827921742,0.808559862,0.964989441
0.126897138,-0.583071499,-0.839139787,0.224439982,0.884496233,1,-0.925134192,0.821053656,0.832874631,0.964989441
0.126897138,-0.583071499,-0.839139787,-0.336442966,0.881543645,1,-0.925134192,0.821053656,0.815505814,0.961928373
0.126897138,-0.781390576,-0.839139787,-0.333450974,0.879527309,1,-0.925134192,0.824487125,0.812032233,0.961928373
0.41501008,-0.781390576,-0.885621007,-0.333538546,0.869568219,1,-0.93582886,0.817620437,0.812032233,0.958868326
0.41501008,-0.781390576,-0.885621007,-0.330885083,0.859616219,1,-0.925134192,0.817620437,0.815505814,0.958868326
0.41501008,-0.781390576,-0.901447875,0.369578879,0.701464709,1,-0.925134192,0.83135586,0.825926559,0.958868326
0.41501008,-0.578910523,-0.933609242,-0.334707138,0.843364148,1,-0.925134192,0.814186668,0.815505814,0.958868326
0.41501008,-0.781390576,-0.933609242,0.5851663,0.823363101,1,-0.925134192,0.810754098,0.7946723,0.958868326
0.41501008,-0.781390576,-0.94994641,0.185349907,0.809449535,1,-0.946524572,0.810754098,0.812032233,0.958868326
0.41501008,-0.578910523,-0.94994641,-0.24225659,0.802284205,1,-0.919786858,0.827921742,0.808559862,0.958868326
0.703158358,-0.578910523,-0.94994641,0.023511554,0.797467918,1,-0.925134192,0.814186668,0.784259581,0.958868326
0.703158358,-0.578910523,-0.94994641,0.184365232,0.777332968,1,-0.983957998,0.827921742,0.808559862,0.958868326
0.703158358,-0.578910523,-0.94994641,-0.211565563,0.760011758,0.98,-0.925134192,0.810754098,0.784259581,0.958868326
0.703158358,-0.578910523,-0.933609242,-0.245035474,0.539083411,0.98,-0.93582886,0.838225742,0.780788675,0.958868326
0.703158358,-0.578910523,-0.917443509,-0.251817464,0.735380767,1,-0.93582886,0.83135586,0.777318981,0.961928373
0.703158358,-0.578910523,-0.901447875,0.336021339,0.704673552,1,-0.93582886,0.814186668,0.773849538,0.961928373
0.423597437,-0.578910523,-0.885621007,-0.301555512,0.679401851,0.98,-0.93582886,0.827921742,0.787729932,0.961928373
0.423597437,-0.578910523,-0.869961581,-0.314029065,0.699594663,0.98,-0.989305332,0.807321726,0.766910755,0.961928373
0.423597437,-0.578910523,-0.869961581,-0.334046999,0.670090897,0.98,-0.930481526,0.824487125,0.759973082,0.964989441
0.711781051,-0.578910523,-0.854468279,-0.330114088,0.663228605,0.98,-0.930481526,0.800457184,0.756505154,0.964989441
0.711781051,-0.578910523,-0.854468279,-0.327318057,0.655563889,0.98,-0.941177238,0.800457184,0.746102279,0.964989441
